"Name","Purpose Statement","Affiliation"
"Association for Women in Mathematics Student Chapter at The Ohio State University","The Association for Women in Mathematics Student Chapter at OSU is organized and operated for educational and scientific purposes. These inc...","Columbus, Academic/College, Awareness/Activism"
"Association of Computing Machinery Committee on Women in Computing","The mission of ACM-W is to support, celebrate, and advocate for the full engagement of women in all aspects of the computing field, engaging...","Columbus, Academic/College, Awareness/Activism, Special Interest, Technology"
"Association of Educational Psychology, Philosophy, and History of Education Scholars","The purpose of the Association of Educational Psychology and Philosophy Scholars is to: 1.	Promote scholarship in education and its dissemin...","Columbus, Academic/College, Special Interest"
"Association of Future Nurse Researchers","The purpose of the Association of Future Nurse Researchers is to provide a collaborative and safe environment where Doctor of Philosophy in ...","Columbus, Academic/College, Special Interest"
"Association of Latino Professionals for America (ALPFA)","The following are the goals and purposes of the ALPFA Student Chapter at The Ohio State University:  Our mission is to empower and develop L...","Columbus, Ethnic/Cultural, Academic/College"
"Association of Women Dentists","A predoctoral chapter of the AWD. The mission of the AWD is to be the recognized resource for connecting and enriching the lives of women de...","Columbus, Academic/College, Special Interest"
"Association of Women in Construction","To create a community where women feel confident in their skills and knowledge due to the encouragement of their peers. To share similar exp...","Columbus, Academic/College, Community Service/Service Learning, Special Interest,"
"Association of Women Surgeons","The Association of Women Surgeons is dedicated to the mission of inspiring and supporting women in all stages of medical training and to ins...","Columbus, Academic/College, Special Interest"
"Asterism: Undergraduate Literary Journal","A magazine open to promoting the work of students worldwide.","Lima, Media, Journalism, and Creative Writing"
"Astronomical Society","We provide an academic and social connection between students and faculty within the astronomy department, and promote academic and professi...","Columbus, Academic/College, Special Interest"
"Athletic Training Club at The Ohio State University","OSU Athletic Training club is a student run organization focused on enhancing our profession, serving the community, and fostering the needs...","Columbus, Academic/College, Community Service/Service Learning"
"ATI Book Club","To discuss a wide variety of titles including many different fiction genres and nonfiction including biography and memoir.","Wooster, Special Interest"
"Autism Speaks U at The Ohio State University","The Ohio State University Student Chapter furthers the mission of Autism Speaks by engaging the campus community (faculty, staff and student...","Columbus, Awareness/Activism, Community Service/Service Learning,"
"Autistic Students Union at The Ohio State University","Our purpose, as the Autistic Students Union at the Ohio State University, is to uplift autistic voices at the Ohio State University. We are ...","Columbus, Awareness/Activism, Academic/College, Community Service/Service Learning"
"The AutoDrive Challenge Team at The Ohio State University","Ever wonder how an Autonomous Vehicle works? How engineers ensure that the vehicle makes the right decisions? Want to get exposure into this...","Columbus, Academic/College, Technology"
"Aviation Management Organization/AAAE","The Aviation Management Organization is the Student Chapter of AAAE and enhances the aviation education experience for all students. We prov...","Columbus, Academic/College, Special Interest"
"Aviation Student Advocacy and Peer Support Organization at The Ohio State University","The Aviation Student Advocacy & Peer Support Organization at The Ohio State University is committed to helping students navigate Ohio State'...","Columbus, Academic/College, Special Interest"
"Axiologists at Ohio State","The purpose of the Axiologists at Ohio State is to create a forum for dialogue amongst advanced undergraduate and graduate students on topic...","Columbus, Academic/College"
"Backburner Sketch Comedy Group","Our purpose is to bring laughter to The Ohio State University by developing a community around sketch comedy within the university and to im...","Columbus, Creative and Performing Arts, Media, Journalism, and Creative Writing, Special Interest,"
"Bad Movie Club at Ohio State","To watch, enjoy, and laugh at “bad movies”, as well as discuss what makes a movie bad and whether it should be considered art or not","Columbus, Special Interest, Creative and Performing Arts"
"Bad Singers Karaoke Club","Bad Singers Club is dedicated to creating a stress-free environment for singers of all skill levels.","Columbus, Creative and Performing Arts, Special Interest"
